GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ejerTestParam,com.mycompany.ejertestparam,Fibonacci,0,48,0,2,0,11,0,3,0,2
ejerTestParam,com.mycompany.ejertestparam,Calculadora,0,24,0,2,0,7,0,6,0,5
ejerTestParam,com.mycompany.ejertestparam,NumeroPrimo,0,24,0,4,0,6,0,4,0,2
ejerTestParam,com.mycompany.ejertestparam,Palindromo,0,77,0,6,0,14,0,5,0,2
ejerTestParam,com.mycompany.ejertestparam,Utilidades,0,25,2,4,0,5,2,4,0,3
ejerTestParam,com.mycompany.ejertestparam,Triangulo,6,33,7,9,0,9,5,5,0,2
